,Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,Unnamed: 11,Year_of_debut,Last_played,Country
190,['ND McKenzie '],2000-2009,58,94,7,3253,226,37.39,5,16,9,,2000,2009,SA
191,['CC Hunte '],1958-1967,44,78,6,3245,260,45.06,8,13,5,,1958,1967,WI
192,['RA Jadeja '],2012-2024,77,113,21,3235,175,35.16,4,21,8,,2012,2024,IND
193,['VL Manjrekar '],1951-1965,55,92,10,3208,189,39.12,7,15,11,,1951,1965,IND
194,['NS Sidhu '],1983-1999,51,78,2,3202,201,42.13,9,15,9,,1983,1999,IND
195,['HA Gomes '],1976-1987,60,91,11,3171,143,39.63,9,13,5,,1976,1987,WI
196,['VT Trumper '],1899-1912,48,89,8,3163,214,39.04,8,13,7,,1899,1912,AUS
197,['SK Warne '],1992-2007,145,199,17,3154,99,17.32,0,12,34,,1992,2007,AUS
198,['KL Rahul '],2014-2024,55,95,3,3128,199,34.0,8,16,8,,2014,2024,IND
199,['Sir RJ Hadlee '],1973-1990,86,134,19,3124,151,27.16,2,15,12,,1973,1990,NZ
200,['CD McMillan '],1997-2005,55,91,10,3116,142,38.46,6,19,7,,1997,2005,NZ
201,['CC McDonald '],1952-1961,47,83,4,3107,170,39.32,5,17,2,,1952,1961,AUS
202,['BF Butcher '],1958-1969,44,78,6,3104,209,43.11,7,16,3,,1958,1969,WI
203,['MM Ali '],2014-2023,68,118,8,3094,155,28.12,5,15,15,,2014,2023,ENG
204,['OJ Pope '],2018-2024,54,95,5,3089,205,34.32,7,15,4,,2018,2024,ENG
205,['WPUJC Vaas '],1994-2009,111,162,35,3089,100,24.32,1,13,12,,1994,2009,SL
206,['AL Hassett '],1938-1953,43,69,3,3073,198,46.56,10,11,1,,1938,1953,AUS
207,['JO Holder '],2014-2024,69,123,20,3073,202,29.83,3,14,11,,2014,2024,WI
208,['CG Borde '],1958-1969,55,97,11,3061,177,35.59,5,18,13,,1958,1969,IND
209,['Sarfaraz Ahmed '],2010-2023,54,95,14,3031,118,37.41,4,21,4,,2010,2023,PAK
210,['Habibul Bashar '],2000-2008,50,99,1,3026,113,30.87,3,24,7,,2000,2008,BAN
211,['JC Adams '],1992-2001,54,90,17,3012,208,41.26,6,14,7,,1992,2001,WI
212,['Saeed Ahmed '],1958-1973,41,78,4,2991,172,40.41,5,16,2,,1958,1973,PAK
213,['GM Turner '],1969-1983,41,73,6,2991,259,44.64,7,14,1,,1969,1983,NZ
214,['HM Nicholls '],2016-2023,56,87,7,2973,200,37.16,9,12,6,,2016,2023,NZ
215,['Taufeeq Umar '],2001-2014,44,83,5,2963,236,37.98,7,14,6,,2001,2014,PAK
216,['AD Nourse '],1935-1951,34,62,7,2960,231,53.81,9,14,3,,1935,1951,SA
217,['KR Miller '],1946-1956,55,87,7,2958,147,36.97,7,13,5,,1946,1956,AUS
218,['HW Taylor '],1912-1932,42,76,4,2936,176,40.77,7,17,2,,1912,1932,SA
219,['AH Jones '],1987-1995,39,74,8,2922,186,44.27,7,11,2,,1987,1995,NZ
220,['Mahmudullah '],2009-2021,50,94,7,2914,150,33.49,5,16,11,,2009,2021,BAN
221,['JC Buttler '],2014-2022,57,100,9,2907,152,31.94,2,18,9,,2014,2022,ENG
222,['J Blackwood '],2014-2023,56,102,6,2898,112,30.18,3,18,7,,2014,2023,WI
223,['D Ramdin '],2005-2016,74,126,14,2898,166,25.87,4,15,9,,2005,2016,WI
224,['Wasim Akram '],1985-2002,104,147,19,2898,257,22.64,3,7,17,,1985,2002,PAK
225,['SL Campbell '],1995-2002,52,93,4,2882,208,32.38,4,18,7,,1995,2002,WI
226,['Z Crawley '],2019-2024,52,95,2,2873,267,30.89,4,16,9,,2019,2024,ENG
227,['AC Parore '],1990-2002,78,128,19,2865,110,26.28,2,14,6,,1990,2002,NZ
228,['WW Armstrong '],1902-1921,50,84,10,2863,159,38.68,6,8,6,,1902,1921,AUS
229,['ADR Campbell '],1992-2002,60,109,4,2858,103,27.21,2,18,10,,1992,2002,ZIM
230,['GR Marsh '],1985-1992,50,93,7,2854,138,33.18,4,15,3,,1985,1992,AUS
231,['Ramiz Raja '],1984-1997,57,94,5,2833,122,31.83,2,22,7,,1984,1997,PAK
232,['Aamer Sohail '],1992-2000,47,83,3,2823,205,35.28,5,13,6,,1992,2000,PAK
233,['Wasim Raja '],1973-1985,57,92,14,2821,125,36.16,4,18,8,,1973,1985,PAK
234,['KR Stackpole '],1966-1974,43,80,5,2807,207,37.42,7,14,5,,1966,1974,AUS
235,['MAK Pataudi '],1961-1975,46,83,3,2793,203,34.91,6,16,7,,1961,1975,IND
236,['Litton Das '],2015-2024,48,84,2,2788,141,34.0,4,17,2,,2015,2024,BAN
237,['KC Wessels '],1982-1994,40,71,3,2788,179,41.0,6,15,5,,1982,1994,AUS/SA
238,['RR Pant '],2018-2024,40,70,5,2780,159,42.76,6,14,3,,2018,2024,IND
239,"[""NCL O'Neill ""]",1958-1965,42,69,8,2779,181,45.55,6,15,6,,1958,1965,AUS
240,['MH Richardson '],2000-2004,38,65,3,2776,145,44.77,4,19,1,,2000,2004,NZ
241,['M Leyland '],1928-1938,41,65,5,2764,187,46.06,9,10,6,,1928,1938,ENG
242,['SMH Kirmani '],1976-1986,88,124,22,2759,102,27.04,2,12,7,,1976,1986,IND
243,['N Dickwella '],2014-2023,54,96,7,2757,96,30.97,0,22,4,,2014,2023,SL
244,['GN Yallop '],1976-1984,39,70,3,2756,268,41.13,8,9,3,,1976,1984,AUS
245,['SJ McCabe '],1930-1938,39,62,5,2748,232,48.21,6,13,4,,1930,1938,AUS
246,['Moin Khan '],1990-2004,69,104,8,2741,137,28.55,4,15,5,,1990,2004,PAK
247,['Mohammad Ashraful '],2001-2013,61,119,5,2737,190,24.0,6,8,16,,2001,2013,BAN
248,['B Sutcliffe '],1947-1965,42,76,8,2727,230,40.1,5,15,5,,1947,1965,NZ
249,['Mohsin Khan '],1978-1986,48,79,6,2709,200,37.1,7,9,3,,1978,1986,PAK
250,['Shoaib Mohammad '],1983-1995,45,68,7,2705,203,44.34,7,13,6,,1983,1995,PAK
251,['AK Markram '],2017-2024,43,78,1,2700,152,35.06,7,12,6,,2017,2024,SA
252,['MG Burgess '],1968-1980,50,92,6,2684,119,31.2,5,14,5,,1968,1980,NZ
253,['JV Coney '],1974-1987,52,85,14,2668,174,37.57,3,16,3,,1974,1987,NZ
254,['Kamran Akmal '],2002-2010,53,92,6,2648,158,30.79,6,12,14,,2002,2010,PAK
255,['JA Rudolph '],2003-2012,48,83,9,2622,222,35.43,6,11,8,,2003,2012,SA
256,['FM Engineer '],1961-1975,46,87,3,2611,121,31.08,2,16,7,,1961,1975,IND
257,['WW Hinds '],2000-2005,45,80,1,2608,213,33.01,5,14,6,,2000,2005,WI
258,['MJ Guptill '],2009-2016,47,89,1,2586,189,29.38,3,17,10,,2009,2016,NZ
259,['Sadiq Mohammad '],1969-1981,41,74,2,2579,166,35.81,5,10,6,,1969,1981,PAK
260,['RD Jacobs '],1998-2004,65,112,21,2577,118,28.31,3,14,12,,1998,2004,WI
261,['RS Mahanama '],1986-1998,52,89,1,2576,225,29.27,4,11,7,,1986,1998,SL
262,['C Washbrook '],1937-1956,37,66,6,2569,195,42.81,6,12,2,,1937,1956,ENG
263,['GS Blewett '],1995-2000,46,79,4,2552,214,34.02,4,15,6,,1995,2000,AUS
264,['JN Rhodes '],1992-2000,52,80,9,2532,117,35.66,3,17,4,,1992,2000,SA
265,['GP Howarth '],1975-1985,47,83,5,2531,147,32.44,6,11,7,,1975,1985,NZ
266,['SM Nurse '],1960-1969,29,54,1,2523,258,47.6,6,10,3,,1960,1969,WI
267,['EJ Barlow '],1961-1970,30,57,2,2516,201,45.74,6,15,3,,1961,1970,SA
268,['TL Goddard '],1955-1970,41,78,5,2516,112,34.46,1,18,4,,1955,1970,SA
269,['A Kumble '],1990-2008,132,173,32,2506,110,17.77,1,5,17,,1990,2008,IND
270,"[""BL D'Oliveira ""]",1966-1972,44,70,8,2484,158,40.06,5,15,4,,1966,1972,ENG
271,['AL Logie '],1983-1991,52,78,9,2470,130,35.79,2,16,8,,1983,1991,WI
272,['DW Randall '],1977-1984,47,79,5,2470,174,33.37,7,12,14,,1977,1984,ENG
273,['W Bardsley '],1909-1926,41,66,5,2469,193,40.47,6,14,6,,1909,1926,AUS
274,['KR Rutherford '],1985-1995,56,99,8,2465,107,27.08,3,18,16,,1985,1995,NZ
275,['AP Gurusinha '],1985-1996,41,70,7,2452,143,38.92,7,8,3,,1985,1996,SL
276,['P Roy '],1951-1960,43,79,4,2442,173,32.56,5,9,14,,1951,1960,IND
277,['WJ Edrich '],1938-1955,39,63,2,2440,219,40.0,6,13,3,,1938,1955,ENG
278,['DJ McGlew '],1951-1962,34,64,6,2440,255,42.06,7,10,4,,1951,1962,SA
279,['TG Evans '],1946-1959,91,133,14,2439,104,20.49,2,8,17,,1946,1959,ENG
280,['LEG Ames '],1929-1939,47,72,12,2434,149,40.56,8,7,5,,1929,1939,ENG
281,['JHB Waite '],1951-1965,50,86,7,2405,134,30.44,4,16,9,,1951,1965,SA
282,['Imran Farhat '],2001-2013,40,77,2,2400,128,32.0,3,14,3,,2001,2013,PAK
283,['MR Ramprakash '],1991-2002,52,92,6,2350,154,27.32,2,12,12,,1991,2002,ENG
284,['W Rhodes '],1899-1930,58,98,21,2325,179,30.19,2,11,6,,1899,1930,ENG
285,['BRM Taylor '],2004-2021,34,68,4,2320,171,36.25,6,12,3,,2004,2021,ZIM
286,['S Dhawan '],2013-2018,34,58,1,2315,190,40.61,7,5,4,,2013,2018,IND
287,['GT Dowling '],1961-1972,39,77,3,2306,239,31.16,3,11,6,,1961,1972,NZ
288,['WM Woodfull '],1926-1934,35,54,4,2300,161,46.0,7,13,6,,1926,1934,AUS
289,['TE Bailey '],1949-1959,61,91,14,2290,134,29.74,1,10,7,,1949,1959,ENG
290,['PJP Burge '],1955-1966,42,68,8,2290,181,38.16,4,12,5,,1955,1966,AUS
291,['SE Gregory '],1890-1912,58,100,7,2282,201,24.53,4,8,12,,1890,1912,AUS
292,['HC Brook '],2022-2024,23,38,1,2280,317,61.62,8,10,1,,2022,2024,ENG
293,['MJK Smith '],1958-1972,50,78,6,2278,121,31.63,3,11,11,,1958,1972,ENG
294,['RL Chase '],2016-2023,49,90,4,2265,137,26.33,5,11,12,,2016,2023,WI
295,['SE Marsh '],2011-2019,38,68,2,2265,182,34.31,6,10,10,,2011,2019,AUS
296,['RG Pollock '],1963-1970,23,41,4,2256,274,60.97,7,11,1,,1963,1970,SA
297,['BM Duckett '],2016-2024,31,58,3,2255,182,41.0,4,13,4,,2016,2024,ENG
298,['AW Nourse '],1902-1924,45,83,8,2234,111,29.78,1,15,3,,1902,1924,SA
299,['Harbhajan Singh '],1998-2015,103,145,23,2224,115,18.22,2,9,19,,1998,2015,IND
300,['H Masakadza '],2001-2018,38,76,2,2223,158,30.04,5,8,10,,2001,2018,ZIM
301,['TG Southee '],2008-2024,106,154,11,2220,77,15.52,0,7,21,,2008,2024,NZ
302,['GJ Whittall '],1993-2002,46,82,7,2207,203,29.42,4,10,6,,1993,2002,ZIM
303,['R Benaud '],1952-1964,63,97,7,2201,122,24.45,3,9,8,,1952,1964,AUS
304,['DJ Bravo '],2004-2010,40,71,1,2200,113,31.42,3,13,6,,2004,2010,WI
305,['VS Hazare '],1946-1953,30,52,6,2192,164,47.65,7,9,4,,1946,1953,IND
306,['GA Headley '],1930-1954,22,40,4,2190,270,60.83,10,5,2,,1930,1954,WI
307,['D Ganga '],1998-2008,48,86,2,2160,135,25.71,3,9,9,,1998,2008,WI
308,['JB Stollmeyer '],1939-1955,32,56,5,2159,160,42.33,4,12,2,,1939,1955,WI
309,['MA Starc '],2011-2024,91,132,27,2149,99,20.46,0,10,14,,2011,2024,AUS
310,['CG Macartney '],1907-1926,35,55,4,2131,170,41.78,7,9,1,,1907,1926,AUS
311,['HAPW Jayawardene '],2000-2015,58,83,11,2124,154,29.5,4,5,9,,2000,2015,SL
312,['WH Ponsford '],1924-1934,29,48,4,2122,266,48.22,7,6,1,,1924,1934,AUS
313,['RA McLean '],1951-1964,40,73,3,2120,142,30.28,5,10,11,,1951,1964,SA
314,['KOA Powell '],2011-2021,44,83,1,2113,134,25.76,3,7,8,,2011,2021,WI
315,['AL Wadekar '],1966-1974,37,71,3,2113,143,31.07,1,14,7,,1966,1974,IND
316,['MH Mankad '],1946-1959,44,72,5,2109,231,31.47,5,6,7,,1946,1959,IND
317,['Shan Masood '],2013-2024,38,72,1,2108,156,29.69,5,10,8,,2013,2024,PAK
318,['JP Duminy '],2008-2017,46,74,10,2103,166,32.85,6,8,9,,2008,2017,SA
319,['JK Silva '],2011-2018,39,74,0,2099,139,28.36,3,12,6,,2011,2018,SL
320,['AN Petersen '],2010-2015,36,64,4,2093,182,34.88,5,8,3,,2010,2015,SA
321,['HDRL Thirimanne '],2011-2022,44,85,6,2088,155,26.43,3,10,11,,2011,2022,SL
322,['CPS Chauhan '],1969-1981,40,68,2,2084,97,31.57,0,16,6,,1969,1981,IND
323,['Imtiaz Ahmed '],1952-1962,41,72,1,2079,209,29.28,3,11,9,,1952,1962,PAK
324,['TA Blundell '],2017-2024,39,67,6,2073,138,33.98,5,11,6,,2017,2024,NZ
325,['MR Marsh '],2014-2024,44,76,7,2072,181,30.02,3,9,8,,2014,2024,AUS
326,['MG Johnson '],2007-2015,73,109,16,2065,123,22.2,1,11,19,,2007,2015,AUS
327,['K Srikkanth '],1981-1992,43,72,3,2062,123,29.88,2,12,7,,1981,1992,IND
328,['RM Cowper '],1964-1968,27,46,2,2061,307,46.84,5,10,3,,1964,1968,AUS
329,['PE Richardson '],1956-1963,34,56,1,2061,126,37.47,5,9,1,,1956,1963,ENG
330,['ML Jaisimha '],1959-1971,39,71,4,2056,129,30.68,3,12,9,,1959,1971,IND
331,['LG Rowe '],1972-1980,30,49,2,2047,302,43.55,7,7,2,,1972,1980,WI
332,['SV Manjrekar '],1987-1996,37,61,6,2043,218,37.14,4,9,3,,1987,1996,IND
333,['BA Young '],1993-1999,35,68,4,2034,267,31.78,2,12,5,,1993,1999,NZ
334,['MJ Greatbatch '],1988-1996,41,71,5,2021,146,30.62,3,10,9,,1988,1996,NZ
335,['CJL Rogers '],2008-2015,25,48,1,2015,173,42.87,5,14,1,,2008,2015,AUS
336,['Mohammad Rizwan '],2016-2024,35,57,9,2009,171,41.85,3,10,4,,2016,2024,PAK
337,['AC Hudson '],1992-1998,35,63,3,2007,163,33.45,4,13,7,,1992,1998,SA
338,['DN Sardesai '],1961-1972,30,55,4,2001,212,39.23,5,9,4,,1961,1972,IND
339,['TW Hayward '],1896-1909,35,60,2,1999,137,34.46,3,12,7,,1896,1909,ENG
340,['MA Noble '],1898-1909,42,73,7,1997,133,30.25,1,16,4,,1898,1909,AUS
341,['DL Murray '],1963-1980,62,96,9,1993,91,22.9,0,11,7,,1963,1980,WI
342,['HH Streak '],1993-2005,65,107,18,1990,127,22.35,1,11,15,,1993,2005,ZIM
343,['AD Gaekwad '],1974-1985,40,70,4,1985,201,30.07,2,10,4,,1974,1985,IND
344,['DJ Mitchell '],2019-2024,30,50,5,1985,190,44.11,5,13,1,,2019,2024,NZ
345,['G Pullar '],1959-1963,28,49,4,1974,175,43.86,4,12,3,,1959,1963,ENG
346,['CR Woakes '],2013-2024,57,92,17,1970,137,26.26,1,7,10,,2013,2024,ENG
347,['BM McMillan '],1992-1998,38,62,12,1968,113,39.36,3,13,3,,1992,1998,SA
348,['EAB Rowan '],1935-1951,26,50,5,1965,236,43.66,3,12,4,,1935,1951,SA
349,['JM Parks '],1954-1968,46,68,7,1962,108,32.16,2,9,3,,1954,1968,ENG
350,['BA Edgar '],1978-1986,39,68,4,1958,161,30.59,3,12,7,,1978,1986,NZ
351,['Mehidy Hasan Miraz '],2016-2024,51,93,10,1952,103,23.51,1,9,6,,2016,2024,BAN
352,['Abdul Razzaq '],1999-2006,46,77,9,1946,134,28.61,3,7,4,,1999,2006,PAK
353,['W Jaffer '],2000-2008,31,58,1,1944,212,34.1,5,11,6,,2000,2008,IND
354,['RS Kaluwitharana '],1992-2004,49,78,4,1933,132,26.12,3,9,5,,1992,2004,SL
355,['AC MacLaren '],1894-1909,35,61,4,1931,140,33.87,5,8,4,,1894,1909,ENG
356,['L Klusener '],1996-2004,49,69,11,1906,174,32.86,4,8,4,,1996,2004,SA
357,['Yuvraj Singh '],2003-2012,40,62,6,1900,169,33.92,3,11,7,,2003,2012,IND
358,['Shoaib Malik '],2001-2015,35,60,6,1898,245,35.14,3,8,6,,2001,2015,PAK
359,['RC Russell '],1988-1998,54,86,16,1897,128,27.1,2,6,8,,1988,1998,ENG
360,['Salman Butt '],2003-2010,33,62,0,1889,122,30.46,3,10,6,,2003,2010,PAK
361,['PH Parfitt '],1961-1972,37,52,6,1882,131,40.91,7,6,5,,1961,1972,ENG
362,['Shubman Gill '],2020-2024,30,56,5,1859,128,36.45,5,7,5,,2020,2024,IND
363,['GRJ Matthews '],1983-1993,33,53,8,1849,130,41.08,4,12,2,,1983,1993,AUS
364,['RES Wyatt '],1927-1937,40,64,6,1839,149,31.7,2,12,6,,1927,1937,ENG
365,['DP Conway '],2021-2024,27,51,1,1836,200,36.72,4,11,4,,2021,2024,NZ
366,['R Illingworth '],1958-1973,61,90,11,1836,113,23.24,2,5,7,,1958,1973,ENG
367,['RP Arnold '],1997-2004,44,69,4,1821,123,28.01,3,10,7,,1997,2004,SL
368,['IDS Smith '],1980-1992,63,88,17,1815,173,25.56,2,6,7,,1980,1992,NZ
369,['MD Marshall '],1978-1991,81,107,11,1810,92,18.85,0,10,15,,1978,1991,WI
370,['JP Crawley '],1994-2003,37,61,9,1800,156,34.61,4,9,4,,1994,2003,ENG
371,['DS Lehmann '],1998-2004,27,42,2,1798,177,44.95,5,10,2,,1998,2004,AUS
372,['Imrul Kayes '],2008-2019,39,76,2,1797,150,24.28,3,4,4,,2008,2019,BAN
373,['NT Paranavitana '],2009-2012,32,60,5,1792,111,32.58,2,11,9,,2009,2012,SL
374,['RJ Burns '],2018-2022,32,59,0,1789,133,30.32,3,11,9,,2018,2022,ENG
375,['MJ Horne '],1997-2003,35,65,2,1788,157,28.38,4,5,4,,1997,2003,NZ
376,['JDP Oram '],2002-2009,33,59,10,1780,133,36.32,5,6,4,,2002,2009,NZ
377,['VD Philander '],2011-2020,64,94,20,1779,74,24.04,0,8,8,,2011,2020,SA
378,['BC Booth '],1961-1966,29,48,6,1773,169,42.21,5,10,5,,1961,1966,AUS
379,['Najmul Hossain Shanto '],2017-2024,33,63,1,1766,163,28.48,5,4,7,,2017,2024,BAN
380,['DS Smith '],2003-2018,43,76,2,1760,108,23.78,1,8,7,,2003,2018,WI
381,['CJ Tavare '],1980-1989,31,56,2,1755,149,32.5,2,12,5,,1980,1989,ENG
382,['GA Faulkner '],1906-1924,25,47,4,1754,204,40.79,4,8,2,,1906,1924,SA
383,['WU Tharanga '],2005-2017,31,58,3,1754,165,31.89,3,8,6,,2005,2017,SL
384,['SD Hope '],2015-2021,38,72,3,1726,147,25.01,2,5,2,,2015,2021,WI
385,['Javed Omar '],2001-2007,40,80,2,1720,119,22.05,1,8,5,,2001,2007,BAN
386,['HH Dippenaar '],1999-2007,38,62,5,1718,177,30.14,3,7,8,,1999,2007,SA
